Category: All categories

Week,Cyclo-cross: (Finland)
2013-11-17,21
2013-11-24,13
2013-12-01,19
2013-12-08,16
2013-12-15,8
2013-12-22,18
2013-12-29,28
2014-01-05,22
2014-01-12,10
2014-01-19,23
2014-01-26,16
2014-02-02,30
2014-02-09,24
2014-02-16,20
2014-02-23,26
2014-03-02,49
2014-03-09,55
2014-03-16,39
2014-03-23,66
2014-03-30,63
2014-04-06,69
2014-04-13,63
2014-04-20,66
2014-04-27,73
2014-05-04,56
2014-05-11,61
2014-05-18,49
2014-05-25,50
2014-06-01,70
2014-06-08,36
2014-06-15,46
2014-06-22,50
2014-06-29,52
2014-07-06,59
2014-07-13,46
2014-07-20,61
2014-07-27,79
2014-08-03,74
2014-08-10,67
2014-08-17,29
2014-08-24,36
2014-08-31,34
2014-09-07,44
2014-09-14,55
2014-09-21,50
2014-09-28,34
2014-10-05,38
2014-10-12,47
2014-10-19,35
2014-10-26,12
2014-11-02,18
2014-11-09,41
2014-11-16,23
2014-11-23,17
2014-11-30,14
2014-12-07,22
2014-12-14,25
2014-12-21,12
2014-12-28,24
2015-01-04,22
2015-01-11,21
2015-01-18,15
2015-01-25,29
2015-02-01,23
2015-02-08,31
2015-02-15,6
2015-02-22,39
2015-03-01,36
2015-03-08,72
2015-03-15,59
2015-03-22,36
2015-03-29,68
2015-04-05,55
2015-04-12,55
2015-04-19,60
2015-04-26,38
2015-05-03,63
2015-05-10,47
2015-05-17,43
2015-05-24,82
2015-05-31,45
2015-06-07,36
2015-06-14,29
2015-06-21,59
2015-06-28,45
2015-07-05,74
2015-07-12,69
2015-07-19,67
2015-07-26,68
2015-08-02,67
2015-08-09,68
2015-08-16,100
2015-08-23,44
2015-08-30,42
2015-09-06,51
2015-09-13,32
2015-09-20,39
2015-09-27,34
2015-10-04,34
2015-10-11,43
2015-10-18,22
2015-10-25,20
2015-11-01,33
2015-11-08,27
2015-11-15,41
2015-11-22,25
2015-11-29,17
2015-12-06,12
2015-12-13,14
2015-12-20,14
2015-12-27,18
2016-01-03,13
2016-01-10,21
2016-01-17,21
2016-01-24,19
2016-01-31,40
2016-02-07,37
2016-02-14,25
2016-02-21,32
2016-02-28,21
2016-03-06,27
2016-03-13,48
2016-03-20,34
2016-03-27,77
2016-04-03,60
2016-04-10,72
2016-04-17,60
2016-04-24,43
2016-05-01,84
2016-05-08,58
2016-05-15,58
2016-05-22,53
2016-05-29,59
2016-06-05,56
2016-06-12,43
2016-06-19,42
2016-06-26,38
2016-07-03,43
2016-07-10,68
2016-07-17,68
2016-07-24,90
2016-07-31,54
2016-08-07,39
2016-08-14,44
2016-08-21,54
2016-08-28,57
2016-09-04,59
2016-09-11,33
2016-09-18,33
2016-09-25,43
2016-10-02,33
2016-10-09,29
2016-10-16,34
2016-10-23,37
2016-10-30,19
2016-11-06,15
2016-11-13,15
2016-11-20,25
2016-11-27,19
2016-12-04,21
2016-12-11,15
2016-12-18,18
2016-12-25,27
2017-01-01,21
2017-01-08,20
2017-01-15,18
2017-01-22,20
2017-01-29,46
2017-02-05,32
2017-02-12,22
2017-02-19,28
2017-02-26,26
2017-03-05,37
2017-03-12,33
2017-03-19,59
2017-03-26,63
2017-04-02,52
2017-04-09,49
2017-04-16,42
2017-04-23,62
2017-04-30,45
2017-05-07,68
2017-05-14,54
2017-05-21,56
2017-05-28,44
2017-06-04,52
2017-06-11,36
2017-06-18,48
2017-06-25,40
2017-07-02,67
2017-07-09,52
2017-07-16,66
2017-07-23,59
2017-07-30,79
2017-08-06,74
2017-08-13,43
2017-08-20,47
2017-08-27,39
2017-09-03,30
2017-09-10,30
2017-09-17,33
2017-09-24,35
2017-10-01,34
2017-10-08,28
2017-10-15,42
2017-10-22,35
2017-10-29,28
2017-11-05,32
2017-11-12,25
2017-11-19,17
2017-11-26,6
2017-12-03,14
2017-12-10,14
2017-12-17,28
2017-12-24,13
2017-12-31,21
2018-01-07,28
2018-01-14,20
2018-01-21,24
2018-01-28,26
2018-02-04,24
2018-02-11,11
2018-02-18,23
2018-02-25,15
2018-03-04,46
2018-03-11,28
2018-03-18,22
2018-03-25,33
2018-04-01,53
2018-04-08,73
2018-04-15,67
2018-04-22,77
2018-04-29,38
2018-05-06,53
2018-05-13,80
2018-05-20,74
2018-05-27,43
2018-06-03,62
2018-06-10,38
2018-06-17,47
2018-06-24,40
2018-07-01,47
2018-07-08,49
2018-07-15,52
2018-07-22,49
2018-07-29,43
2018-08-05,68
2018-08-12,69
2018-08-19,41
2018-08-26,36
2018-09-02,29
2018-09-09,46
2018-09-16,23
2018-09-23,38
2018-09-30,31
2018-10-07,13
2018-10-14,27
2018-10-21,25
2018-10-28,15
2018-11-04,18
