Category: All categories

Week,Cyclo-cross: (Norway)
2013-11-17,30
2013-11-24,45
2013-12-01,19
2013-12-08,20
2013-12-15,11
2013-12-22,37
2013-12-29,44
2014-01-05,14
2014-01-12,19
2014-01-19,19
2014-01-26,19
2014-02-02,20
2014-02-09,14
2014-02-16,10
2014-02-23,38
2014-03-02,57
2014-03-09,57
2014-03-16,69
2014-03-23,49
2014-03-30,63
2014-04-06,24
2014-04-13,29
2014-04-20,58
2014-04-27,40
2014-05-04,57
2014-05-11,24
2014-05-18,62
2014-05-25,40
2014-06-01,56
2014-06-08,34
2014-06-15,33
2014-06-22,46
2014-06-29,36
2014-07-06,65
2014-07-13,51
2014-07-20,34
2014-07-27,60
2014-08-03,46
2014-08-10,57
2014-08-17,51
2014-08-24,56
2014-08-31,60
2014-09-07,65
2014-09-14,81
2014-09-21,40
2014-09-28,47
2014-10-05,61
2014-10-12,54
2014-10-19,34
2014-10-26,44
2014-11-02,39
2014-11-09,20
2014-11-16,40
2014-11-23,30
2014-11-30,34
2014-12-07,29
2014-12-14,32
2014-12-21,0
2014-12-28,35
2015-01-04,15
2015-01-11,29
2015-01-18,24
2015-01-25,33
2015-02-01,14
2015-02-08,15
2015-02-15,30
2015-02-22,44
2015-03-01,34
2015-03-08,59
2015-03-15,38
2015-03-22,68
2015-03-29,24
2015-04-05,100
2015-04-12,48
2015-04-19,64
2015-04-26,65
2015-05-03,24
2015-05-10,49
2015-05-17,58
2015-05-24,33
2015-05-31,67
2015-06-07,35
2015-06-14,36
2015-06-21,76
2015-06-28,51
2015-07-05,45
2015-07-12,35
2015-07-19,59
2015-07-26,49
2015-08-02,83
2015-08-09,71
2015-08-16,81
2015-08-23,75
2015-08-30,41
2015-09-06,48
2015-09-13,49
2015-09-20,47
2015-09-27,73
2015-10-04,53
2015-10-11,61
2015-10-18,46
2015-10-25,46
2015-11-01,63
2015-11-08,55
2015-11-15,37
2015-11-22,22
2015-11-29,9
2015-12-06,23
2015-12-13,15
2015-12-20,46
2015-12-27,27
2016-01-03,27
2016-01-10,13
2016-01-17,35
2016-01-24,35
2016-01-31,35
2016-02-07,35
2016-02-14,27
2016-02-21,23
2016-02-28,18
2016-03-06,22
2016-03-13,40
2016-03-20,41
2016-03-27,52
2016-04-03,51
2016-04-10,48
2016-04-17,43
2016-04-24,60
2016-05-01,41
2016-05-08,27
2016-05-15,46
2016-05-22,44
2016-05-29,69
2016-06-05,41
2016-06-12,46
2016-06-19,32
2016-06-26,61
2016-07-03,47
2016-07-10,37
2016-07-17,51
2016-07-24,81
2016-07-31,87
2016-08-07,63
2016-08-14,57
2016-08-21,85
2016-08-28,51
2016-09-04,37
2016-09-11,70
2016-09-18,79
2016-09-25,37
2016-10-02,19
2016-10-09,43
2016-10-16,18
2016-10-23,63
2016-10-30,32
2016-11-06,40
2016-11-13,57
2016-11-20,26
2016-11-27,18
2016-12-04,30
2016-12-11,26
2016-12-18,10
2016-12-25,25
2017-01-01,35
2017-01-08,29
2017-01-15,25
2017-01-22,46
2017-01-29,25
2017-02-05,25
2017-02-12,29
2017-02-19,26
2017-02-26,21
2017-03-05,41
2017-03-12,40
2017-03-19,33
2017-03-26,33
2017-04-02,25
2017-04-09,29
2017-04-16,51
2017-04-23,28
2017-04-30,35
2017-05-07,36
2017-05-14,31
2017-05-21,41
2017-05-28,39
2017-06-04,47
2017-06-11,31
2017-06-18,53
2017-06-25,63
2017-07-02,78
2017-07-09,55
2017-07-16,46
2017-07-23,50
2017-07-30,80
2017-08-06,47
2017-08-13,48
2017-08-20,63
2017-08-27,25
2017-09-03,37
2017-09-10,40
2017-09-17,46
2017-09-24,54
2017-10-01,68
2017-10-08,64
2017-10-15,41
2017-10-22,20
2017-10-29,20
2017-11-05,24
2017-11-12,32
2017-11-19,31
2017-11-26,8
2017-12-03,16
2017-12-10,8
2017-12-17,9
2017-12-24,28
2017-12-31,13
2018-01-07,23
2018-01-14,31
2018-01-21,23
2018-01-28,23
2018-02-04,19
2018-02-11,19
2018-02-18,16
2018-02-25,16
2018-03-04,27
2018-03-11,16
2018-03-18,24
2018-03-25,19
2018-04-01,39
2018-04-08,86
2018-04-15,63
2018-04-22,42
2018-04-29,39
2018-05-06,65
2018-05-13,74
2018-05-20,57
2018-05-27,29
2018-06-03,48
2018-06-10,68
2018-06-17,47
2018-06-24,46
2018-07-01,44
2018-07-08,40
2018-07-15,28
2018-07-22,42
2018-07-29,55
2018-08-05,60
2018-08-12,67
2018-08-19,54
2018-08-26,54
2018-09-02,46
2018-09-09,38
2018-09-16,53
2018-09-23,31
2018-09-30,12
2018-10-07,17
2018-10-14,45
2018-10-21,24
2018-10-28,36
2018-11-04,31
