Category: All categories

Week,Cyclo-cross: (Canada)
2013-11-17,43
2013-11-24,45
2013-12-01,45
2013-12-08,30
2013-12-15,17
2013-12-22,20
2013-12-29,24
2014-01-05,27
2014-01-12,31
2014-01-19,21
2014-01-26,27
2014-02-02,43
2014-02-09,15
2014-02-16,21
2014-02-23,21
2014-03-02,24
2014-03-09,25
2014-03-16,34
2014-03-23,34
2014-03-30,30
2014-04-06,30
2014-04-13,42
2014-04-20,47
2014-04-27,49
2014-05-04,40
2014-05-11,38
2014-05-18,31
2014-05-25,38
2014-06-01,39
2014-06-08,27
2014-06-15,35
2014-06-22,41
2014-06-29,52
2014-07-06,41
2014-07-13,54
2014-07-20,43
2014-07-27,35
2014-08-03,52
2014-08-10,44
2014-08-17,52
2014-08-24,52
2014-08-31,55
2014-09-07,54
2014-09-14,67
2014-09-21,67
2014-09-28,70
2014-10-05,83
2014-10-12,74
2014-10-19,100
2014-10-26,78
2014-11-02,45
2014-11-09,34
2014-11-16,37
2014-11-23,36
2014-11-30,24
2014-12-07,13
2014-12-14,23
2014-12-21,28
2014-12-28,19
2015-01-04,27
2015-01-11,26
2015-01-18,24
2015-01-25,44
2015-02-01,43
2015-02-08,31
2015-02-15,23
2015-02-22,20
2015-03-01,27
2015-03-08,39
2015-03-15,36
2015-03-22,49
2015-03-29,31
2015-04-05,32
2015-04-12,46
2015-04-19,35
2015-04-26,59
2015-05-03,36
2015-05-10,40
2015-05-17,37
2015-05-24,38
2015-05-31,39
2015-06-07,49
2015-06-14,40
2015-06-21,32
2015-06-28,35
2015-07-05,53
2015-07-12,38
2015-07-19,29
2015-07-26,34
2015-08-02,54
2015-08-09,51
2015-08-16,55
2015-08-23,65
2015-08-30,74
2015-09-06,71
2015-09-13,75
2015-09-20,83
2015-09-27,67
2015-10-04,71
2015-10-11,64
2015-10-18,88
2015-10-25,80
2015-11-01,46
2015-11-08,36
2015-11-15,35
2015-11-22,36
2015-11-29,40
2015-12-06,24
2015-12-13,23
2015-12-20,25
2015-12-27,34
2016-01-03,28
2016-01-10,33
2016-01-17,22
2016-01-24,35
2016-01-31,61
2016-02-07,32
2016-02-14,20
2016-02-21,28
2016-02-28,28
2016-03-06,32
2016-03-13,32
2016-03-20,34
2016-03-27,51
2016-04-03,39
2016-04-10,34
2016-04-17,32
2016-04-24,36
2016-05-01,30
2016-05-08,48
2016-05-15,32
2016-05-22,35
2016-05-29,34
2016-06-05,24
2016-06-12,24
2016-06-19,30
2016-06-26,40
2016-07-03,29
2016-07-10,24
2016-07-17,37
2016-07-24,36
2016-07-31,36
2016-08-07,57
2016-08-14,45
2016-08-21,50
2016-08-28,51
2016-09-04,73
2016-09-11,70
2016-09-18,56
2016-09-25,69
2016-10-02,67
2016-10-09,56
2016-10-16,74
2016-10-23,54
2016-10-30,58
2016-11-06,57
2016-11-13,46
2016-11-20,55
2016-11-27,35
2016-12-04,16
2016-12-11,23
2016-12-18,24
2016-12-25,26
2017-01-01,23
2017-01-08,31
2017-01-15,33
2017-01-22,26
2017-01-29,25
2017-02-05,25
2017-02-12,23
2017-02-19,26
2017-02-26,31
2017-03-05,32
2017-03-12,29
2017-03-19,17
2017-03-26,26
2017-04-02,36
2017-04-09,38
2017-04-16,29
2017-04-23,33
2017-04-30,31
2017-05-07,28
2017-05-14,26
2017-05-21,27
2017-05-28,35
2017-06-04,27
2017-06-11,19
2017-06-18,22
2017-06-25,26
2017-07-02,33
2017-07-09,27
2017-07-16,25
2017-07-23,44
2017-07-30,61
2017-08-06,47
2017-08-13,56
2017-08-20,37
2017-08-27,64
2017-09-03,59
2017-09-10,67
2017-09-17,67
2017-09-24,67
2017-10-01,52
2017-10-08,44
2017-10-15,55
2017-10-22,63
2017-10-29,46
2017-11-05,38
2017-11-12,52
2017-11-19,26
2017-11-26,35
2017-12-03,16
2017-12-10,19
2017-12-17,13
2017-12-24,16
2017-12-31,27
2018-01-07,23
2018-01-14,28
2018-01-21,22
2018-01-28,31
2018-02-04,21
2018-02-11,17
2018-02-18,16
2018-02-25,18
2018-03-04,24
2018-03-11,22
2018-03-18,18
2018-03-25,20
2018-04-01,21
2018-04-08,23
2018-04-15,32
2018-04-22,21
2018-04-29,41
2018-05-06,31
2018-05-13,31
2018-05-20,33
2018-05-27,20
2018-06-03,17
2018-06-10,27
2018-06-17,27
2018-06-24,22
2018-07-01,28
2018-07-08,26
2018-07-15,22
2018-07-22,41
2018-07-29,42
2018-08-05,32
2018-08-12,27
2018-08-19,26
2018-08-26,48
2018-09-02,44
2018-09-09,47
2018-09-16,53
2018-09-23,42
2018-09-30,53
2018-10-07,36
2018-10-14,47
2018-10-21,47
2018-10-28,35
2018-11-04,57
