Category: All categories

Week,Cyclo-cross: (Poland)
2013-11-17,32
2013-11-24,31
2013-12-01,31
2013-12-08,21
2013-12-15,33
2013-12-22,50
2013-12-29,55
2014-01-05,47
2014-01-12,49
2014-01-19,43
2014-01-26,16
2014-02-02,49
2014-02-09,20
2014-02-16,34
2014-02-23,57
2014-03-02,30
2014-03-09,38
2014-03-16,47
2014-03-23,34
2014-03-30,52
2014-04-06,42
2014-04-13,57
2014-04-20,37
2014-04-27,30
2014-05-04,41
2014-05-11,33
2014-05-18,38
2014-05-25,35
2014-06-01,20
2014-06-08,35
2014-06-15,25
2014-06-22,43
2014-06-29,33
2014-07-06,70
2014-07-13,39
2014-07-20,34
2014-07-27,80
2014-08-03,44
2014-08-10,30
2014-08-17,28
2014-08-24,35
2014-08-31,40
2014-09-07,54
2014-09-14,46
2014-09-21,52
2014-09-28,38
2014-10-05,51
2014-10-12,58
2014-10-19,32
2014-10-26,37
2014-11-02,50
2014-11-09,79
2014-11-16,38
2014-11-23,76
2014-11-30,52
2014-12-07,58
2014-12-14,45
2014-12-21,69
2014-12-28,57
2015-01-04,42
2015-01-11,60
2015-01-18,61
2015-01-25,32
2015-02-01,57
2015-02-08,55
2015-02-15,26
2015-02-22,51
2015-03-01,38
2015-03-08,52
2015-03-15,17
2015-03-22,42
2015-03-29,26
2015-04-05,24
2015-04-12,51
2015-04-19,50
2015-04-26,34
2015-05-03,51
2015-05-10,37
2015-05-17,33
2015-05-24,43
2015-05-31,26
2015-06-07,34
2015-06-14,37
2015-06-21,41
2015-06-28,39
2015-07-05,42
2015-07-12,28
2015-07-19,50
2015-07-26,71
2015-08-02,52
2015-08-09,44
2015-08-16,46
2015-08-23,41
2015-08-30,31
2015-09-06,53
2015-09-13,73
2015-09-20,52
2015-09-27,70
2015-10-04,61
2015-10-11,47
2015-10-18,44
2015-10-25,94
2015-11-01,53
2015-11-08,89
2015-11-15,84
2015-11-22,45
2015-11-29,51
2015-12-06,51
2015-12-13,53
2015-12-20,22
2015-12-27,52
2016-01-03,59
2016-01-10,87
2016-01-17,40
2016-01-24,25
2016-01-31,62
2016-02-07,43
2016-02-14,37
2016-02-21,46
2016-02-28,60
2016-03-06,33
2016-03-13,19
2016-03-20,81
2016-03-27,53
2016-04-03,77
2016-04-10,76
2016-04-17,45
2016-04-24,29
2016-05-01,49
2016-05-08,75
2016-05-15,29
2016-05-22,61
2016-05-29,60
2016-06-05,50
2016-06-12,46
2016-06-19,41
2016-06-26,49
2016-07-03,43
2016-07-10,29
2016-07-17,23
2016-07-24,53
2016-07-31,45
2016-08-07,51
2016-08-14,99
2016-08-21,88
2016-08-28,63
2016-09-04,100
2016-09-11,50
2016-09-18,78
2016-09-25,53
2016-10-02,77
2016-10-09,61
2016-10-16,73
2016-10-23,55
2016-10-30,75
2016-11-06,46
2016-11-13,65
2016-11-20,54
2016-11-27,43
2016-12-04,25
2016-12-11,50
2016-12-18,38
2016-12-25,51
2017-01-01,46
2017-01-08,71
2017-01-15,48
2017-01-22,54
2017-01-29,80
2017-02-05,39
2017-02-12,27
2017-02-19,55
2017-02-26,40
2017-03-05,55
2017-03-12,43
2017-03-19,35
2017-03-26,41
2017-04-02,58
2017-04-09,71
2017-04-16,39
2017-04-23,23
2017-04-30,58
2017-05-07,48
2017-05-14,37
2017-05-21,36
2017-05-28,63
2017-06-04,38
2017-06-11,56
2017-06-18,45
2017-06-25,33
2017-07-02,41
2017-07-09,41
2017-07-16,55
2017-07-23,62
2017-07-30,37
2017-08-06,66
2017-08-13,48
2017-08-20,48
2017-08-27,35
2017-09-03,73
2017-09-10,77
2017-09-17,91
2017-09-24,75
2017-10-01,42
2017-10-08,98
2017-10-15,60
2017-10-22,55
2017-10-29,45
2017-11-05,46
2017-11-12,54
2017-11-19,23
2017-11-26,57
2017-12-03,34
2017-12-10,29
2017-12-17,43
2017-12-24,49
2017-12-31,55
2018-01-07,35
2018-01-14,38
2018-01-21,36
2018-01-28,76
2018-02-04,42
2018-02-11,44
2018-02-18,25
2018-02-25,16
2018-03-04,44
2018-03-11,63
2018-03-18,25
2018-03-25,44
2018-04-01,36
2018-04-08,44
2018-04-15,58
2018-04-22,43
2018-04-29,52
2018-05-06,76
2018-05-13,39
2018-05-20,67
2018-05-27,65
2018-06-03,38
2018-06-10,49
2018-06-17,51
2018-06-24,29
2018-07-01,35
2018-07-08,43
2018-07-15,56
2018-07-22,61
2018-07-29,36
2018-08-05,38
2018-08-12,58
2018-08-19,57
2018-08-26,38
2018-09-02,38
2018-09-09,50
2018-09-16,50
2018-09-23,49
2018-09-30,44
2018-10-07,56
2018-10-14,62
2018-10-21,77
2018-10-28,48
2018-11-04,44
