Category: All categories

Week,Cyclo-cross: (Japan)
2013-11-17,47
2013-11-24,47
2013-12-01,51
2013-12-08,45
2013-12-15,38
2013-12-22,55
2013-12-29,32
2014-01-05,52
2014-01-12,46
2014-01-19,46
2014-01-26,42
2014-02-02,100
2014-02-09,63
2014-02-16,34
2014-02-23,29
2014-03-02,31
2014-03-09,28
2014-03-16,24
2014-03-23,25
2014-03-30,17
2014-04-06,35
2014-04-13,29
2014-04-20,26
2014-04-27,27
2014-05-04,26
2014-05-11,33
2014-05-18,25
2014-05-25,33
2014-06-01,29
2014-06-08,27
2014-06-15,27
2014-06-22,20
2014-06-29,24
2014-07-06,28
2014-07-13,23
2014-07-20,28
2014-07-27,34
2014-08-03,21
2014-08-10,27
2014-08-17,26
2014-08-24,30
2014-08-31,20
2014-09-07,28
2014-09-14,37
2014-09-21,40
2014-09-28,34
2014-10-05,37
2014-10-12,46
2014-10-19,45
2014-10-26,45
2014-11-02,50
2014-11-09,50
2014-11-16,40
2014-11-23,63
2014-11-30,56
2014-12-07,47
2014-12-14,47
2014-12-21,40
2014-12-28,35
2015-01-04,39
2015-01-11,41
2015-01-18,51
2015-01-25,36
2015-02-01,67
2015-02-08,58
2015-02-15,30
2015-02-22,26
2015-03-01,30
2015-03-08,34
2015-03-15,24
2015-03-22,23
2015-03-29,19
2015-04-05,21
2015-04-12,21
2015-04-19,31
2015-04-26,29
2015-05-03,35
2015-05-10,32
2015-05-17,21
2015-05-24,29
2015-05-31,26
2015-06-07,31
2015-06-14,31
2015-06-21,23
2015-06-28,27
2015-07-05,23
2015-07-12,22
2015-07-19,24
2015-07-26,23
2015-08-02,24
2015-08-09,20
2015-08-16,18
2015-08-23,34
2015-08-30,45
2015-09-06,26
2015-09-13,36
2015-09-20,34
2015-09-27,29
2015-10-04,32
2015-10-11,34
2015-10-18,43
2015-10-25,31
2015-11-01,42
2015-11-08,47
2015-11-15,39
2015-11-22,60
2015-11-29,52
2015-12-06,47
2015-12-13,51
2015-12-20,49
2015-12-27,35
2016-01-03,40
2016-01-10,48
2016-01-17,40
2016-01-24,41
2016-01-31,65
2016-02-07,64
2016-02-14,46
2016-02-21,34
2016-02-28,29
2016-03-06,36
2016-03-13,23
2016-03-20,30
2016-03-27,28
2016-04-03,27
2016-04-10,28
2016-04-17,27
2016-04-24,28
2016-05-01,20
2016-05-08,25
2016-05-15,25
2016-05-22,23
2016-05-29,23
2016-06-05,23
2016-06-12,23
2016-06-19,23
2016-06-26,22
2016-07-03,22
2016-07-10,18
2016-07-17,22
2016-07-24,19
2016-07-31,18
2016-08-07,16
2016-08-14,30
2016-08-21,25
2016-08-28,21
2016-09-04,23
2016-09-11,29
2016-09-18,33
2016-09-25,33
2016-10-02,31
2016-10-09,31
2016-10-16,39
2016-10-23,47
2016-10-30,39
2016-11-06,37
2016-11-13,38
2016-11-20,43
2016-11-27,62
2016-12-04,46
2016-12-11,41
2016-12-18,41
2016-12-25,32
2017-01-01,37
2017-01-08,51
2017-01-15,40
2017-01-22,46
2017-01-29,49
2017-02-05,64
2017-02-12,45
2017-02-19,29
2017-02-26,26
2017-03-05,27
2017-03-12,25
2017-03-19,20
2017-03-26,16
2017-04-02,28
2017-04-09,18
2017-04-16,22
2017-04-23,24
2017-04-30,23
2017-05-07,23
2017-05-14,16
2017-05-21,26
2017-05-28,24
2017-06-04,27
2017-06-11,21
2017-06-18,25
2017-06-25,21
2017-07-02,20
2017-07-09,20
2017-07-16,21
2017-07-23,23
2017-07-30,18
2017-08-06,17
2017-08-13,17
2017-08-20,23
2017-08-27,28
2017-09-03,26
2017-09-10,29
2017-09-17,31
2017-09-24,31
2017-10-01,33
2017-10-08,30
2017-10-15,40
2017-10-22,32
2017-10-29,43
2017-11-05,45
2017-11-12,32
2017-11-19,64
2017-11-26,34
2017-12-03,49
2017-12-10,45
2017-12-17,37
2017-12-24,34
2017-12-31,29
2018-01-07,50
2018-01-14,47
2018-01-21,32
2018-01-28,42
2018-02-04,58
2018-02-11,50
2018-02-18,29
2018-02-25,24
2018-03-04,21
2018-03-11,20
2018-03-18,24
2018-03-25,23
2018-04-01,17
2018-04-08,18
2018-04-15,21
2018-04-22,15
2018-04-29,14
2018-05-06,18
2018-05-13,18
2018-05-20,18
2018-05-27,16
2018-06-03,20
2018-06-10,13
2018-06-17,13
2018-06-24,12
2018-07-01,16
2018-07-08,15
2018-07-15,14
2018-07-22,8
2018-07-29,19
2018-08-05,16
2018-08-12,14
2018-08-19,19
2018-08-26,22
2018-09-02,23
2018-09-09,25
2018-09-16,23
2018-09-23,29
2018-09-30,24
2018-10-07,34
2018-10-14,32
2018-10-21,29
2018-10-28,32
2018-11-04,40
2018-11-11,53
