Category: All categories

Week,Cyclo-cross: (Netherlands)
2013-11-17,17
2013-11-24,15
2013-12-01,15
2013-12-08,16
2013-12-15,20
2013-12-22,33
2013-12-29,31
2014-01-05,30
2014-01-12,38
2014-01-19,22
2014-01-26,61
2014-02-02,47
2014-02-09,15
2014-02-16,9
2014-02-23,6
2014-03-02,3
2014-03-09,3
2014-03-16,3
2014-03-23,3
2014-03-30,2
2014-04-06,2
2014-04-13,1
2014-04-20,2
2014-04-27,2
2014-05-04,2
2014-05-11,2
2014-05-18,2
2014-05-25,3
2014-06-01,2
2014-06-08,2
2014-06-15,4
2014-06-22,1
2014-06-29,3
2014-07-06,3
2014-07-13,2
2014-07-20,4
2014-07-27,4
2014-08-03,2
2014-08-10,3
2014-08-17,7
2014-08-24,6
2014-08-31,7
2014-09-07,5
2014-09-14,6
2014-09-21,11
2014-09-28,8
2014-10-05,19
2014-10-12,15
2014-10-19,16
2014-10-26,17
2014-11-02,16
2014-11-09,17
2014-11-16,18
2014-11-23,17
2014-11-30,12
2014-12-07,12
2014-12-14,21
2014-12-21,20
2014-12-28,35
2015-01-04,34
2015-01-11,39
2015-01-18,22
2015-01-25,34
2015-02-01,44
2015-02-08,22
2015-02-15,11
2015-02-22,7
2015-03-01,2
2015-03-08,3
2015-03-15,3
2015-03-22,2
2015-03-29,1
2015-04-05,2
2015-04-12,1
2015-04-19,3
2015-04-26,2
2015-05-03,2
2015-05-10,3
2015-05-17,2
2015-05-24,2
2015-05-31,2
2015-06-07,2
2015-06-14,3
2015-06-21,2
2015-06-28,2
2015-07-05,2
2015-07-12,4
2015-07-19,4
2015-07-26,5
2015-08-02,4
2015-08-09,5
2015-08-16,5
2015-08-23,6
2015-08-30,6
2015-09-06,7
2015-09-13,11
2015-09-20,9
2015-09-27,10
2015-10-04,13
2015-10-11,16
2015-10-18,19
2015-10-25,20
2015-11-01,26
2015-11-08,15
2015-11-15,15
2015-11-22,20
2015-11-29,19
2015-12-06,19
2015-12-13,23
2015-12-20,36
2015-12-27,45
2016-01-03,31
2016-01-10,48
2016-01-17,26
2016-01-24,57
2016-01-31,69
2016-02-07,14
2016-02-14,12
2016-02-21,11
2016-02-28,3
2016-03-06,1
2016-03-13,3
2016-03-20,2
2016-03-27,4
2016-04-03,2
2016-04-10,3
2016-04-17,3
2016-04-24,2
2016-05-01,2
2016-05-08,1
2016-05-15,2
2016-05-22,2
2016-05-29,2
2016-06-05,4
2016-06-12,3
2016-06-19,2
2016-06-26,2
2016-07-03,3
2016-07-10,3
2016-07-17,2
2016-07-24,4
2016-07-31,3
2016-08-07,8
2016-08-14,3
2016-08-21,6
2016-08-28,6
2016-09-04,6
2016-09-11,10
2016-09-18,10
2016-09-25,13
2016-10-02,18
2016-10-09,16
2016-10-16,19
2016-10-23,30
2016-10-30,25
2016-11-06,25
2016-11-13,17
2016-11-20,19
2016-11-27,20
2016-12-04,22
2016-12-11,18
2016-12-18,36
2016-12-25,39
2017-01-01,36
2017-01-08,51
2017-01-15,37
2017-01-22,57
2017-01-29,59
2017-02-05,36
2017-02-12,21
2017-02-19,18
2017-02-26,4
2017-03-05,2
2017-03-12,2
2017-03-19,2
2017-03-26,3
2017-04-02,3
2017-04-09,3
2017-04-16,3
2017-04-23,3
2017-04-30,2
2017-05-07,4
2017-05-14,3
2017-05-21,3
2017-05-28,2
2017-06-04,2
2017-06-11,2
2017-06-18,3
2017-06-25,2
2017-07-02,4
2017-07-09,3
2017-07-16,6
2017-07-23,5
2017-07-30,4
2017-08-06,5
2017-08-13,5
2017-08-20,4
2017-08-27,4
2017-09-03,9
2017-09-10,13
2017-09-17,18
2017-09-24,24
2017-10-01,26
2017-10-08,16
2017-10-15,30
2017-10-22,28
2017-10-29,31
2017-11-05,51
2017-11-12,34
2017-11-19,34
2017-11-26,24
2017-12-03,28
2017-12-10,21
2017-12-17,31
2017-12-24,62
2017-12-31,43
2018-01-07,52
2018-01-14,65
2018-01-21,45
2018-01-28,100
2018-02-04,91
2018-02-11,24
2018-02-18,21
2018-02-25,7
2018-03-04,2
2018-03-11,2
2018-03-18,3
2018-03-25,2
2018-04-01,2
2018-04-08,2
2018-04-15,3
2018-04-22,2
2018-04-29,3
2018-05-06,3
2018-05-13,2
2018-05-20,2
2018-05-27,2
2018-06-03,2
2018-06-10,2
2018-06-17,4
2018-06-24,5
2018-07-01,2
2018-07-08,3
2018-07-15,2
2018-07-22,5
2018-07-29,3
2018-08-05,4
2018-08-12,5
2018-08-19,3
2018-08-26,7
2018-09-02,8
2018-09-09,8
2018-09-16,12
2018-09-23,17
2018-09-30,17
2018-10-07,21
2018-10-14,33
2018-10-21,33
2018-10-28,53
2018-11-04,60
