Category: All categories

Week,Cyclo-cross: (United Kingdom)
2013-11-17,60
2013-11-24,56
2013-12-01,46
2013-12-08,48
2013-12-15,53
2013-12-22,54
2013-12-29,63
2014-01-05,49
2014-01-12,58
2014-01-19,44
2014-01-26,52
2014-02-02,49
2014-02-09,36
2014-02-16,34
2014-02-23,33
2014-03-02,40
2014-03-09,34
2014-03-16,37
2014-03-23,35
2014-03-30,42
2014-04-06,37
2014-04-13,38
2014-04-20,38
2014-04-27,38
2014-05-04,46
2014-05-11,38
2014-05-18,44
2014-05-25,43
2014-06-01,40
2014-06-08,41
2014-06-15,43
2014-06-22,46
2014-06-29,43
2014-07-06,57
2014-07-13,54
2014-07-20,57
2014-07-27,57
2014-08-03,53
2014-08-10,63
2014-08-17,56
2014-08-24,51
2014-08-31,68
2014-09-07,79
2014-09-14,78
2014-09-21,82
2014-09-28,90
2014-10-05,88
2014-10-12,78
2014-10-19,81
2014-10-26,67
2014-11-02,77
2014-11-09,59
2014-11-16,81
2014-11-23,89
2014-11-30,65
2014-12-07,44
2014-12-14,49
2014-12-21,52
2014-12-28,83
2015-01-04,63
2015-01-11,54
2015-01-18,50
2015-01-25,52
2015-02-01,44
2015-02-08,41
2015-02-15,41
2015-02-22,40
2015-03-01,34
2015-03-08,33
2015-03-15,34
2015-03-22,46
2015-03-29,39
2015-04-05,36
2015-04-12,37
2015-04-19,45
2015-04-26,42
2015-05-03,42
2015-05-10,40
2015-05-17,32
2015-05-24,37
2015-05-31,46
2015-06-07,46
2015-06-14,45
2015-06-21,52
2015-06-28,57
2015-07-05,48
2015-07-12,53
2015-07-19,54
2015-07-26,52
2015-08-02,56
2015-08-09,63
2015-08-16,61
2015-08-23,67
2015-08-30,61
2015-09-06,82
2015-09-13,71
2015-09-20,80
2015-09-27,95
2015-10-04,82
2015-10-11,79
2015-10-18,84
2015-10-25,67
2015-11-01,76
2015-11-08,60
2015-11-15,66
2015-11-22,62
2015-11-29,56
2015-12-06,50
2015-12-13,56
2015-12-20,56
2015-12-27,63
2016-01-03,56
2016-01-10,59
2016-01-17,52
2016-01-24,63
2016-01-31,96
2016-02-07,40
2016-02-14,36
2016-02-21,36
2016-02-28,31
2016-03-06,36
2016-03-13,41
2016-03-20,31
2016-03-27,35
2016-04-03,32
2016-04-10,37
2016-04-17,31
2016-04-24,37
2016-05-01,37
2016-05-08,39
2016-05-15,43
2016-05-22,42
2016-05-29,37
2016-06-05,37
2016-06-12,38
2016-06-19,32
2016-06-26,37
2016-07-03,52
2016-07-10,41
2016-07-17,46
2016-07-24,45
2016-07-31,48
2016-08-07,53
2016-08-14,60
2016-08-21,66
2016-08-28,69
2016-09-04,81
2016-09-11,75
2016-09-18,80
2016-09-25,100
2016-10-02,78
2016-10-09,74
2016-10-16,76
2016-10-23,68
2016-10-30,77
2016-11-06,64
2016-11-13,66
2016-11-20,57
2016-11-27,55
2016-12-04,54
2016-12-11,48
2016-12-18,45
2016-12-25,62
2017-01-01,63
2017-01-08,55
2017-01-15,45
2017-01-22,66
2017-01-29,53
2017-02-05,44
2017-02-12,34
2017-02-19,38
2017-02-26,32
2017-03-05,35
2017-03-12,35
2017-03-19,28
2017-03-26,34
2017-04-02,34
2017-04-09,37
2017-04-16,36
2017-04-23,34
2017-04-30,41
2017-05-07,39
2017-05-14,41
2017-05-21,31
2017-05-28,39
2017-06-04,32
2017-06-11,39
2017-06-18,35
2017-06-25,33
2017-07-02,39
2017-07-09,44
2017-07-16,47
2017-07-23,45
2017-07-30,56
2017-08-06,50
2017-08-13,60
2017-08-20,55
2017-08-27,62
2017-09-03,63
2017-09-10,77
2017-09-17,82
2017-09-24,83
2017-10-01,81
2017-10-08,67
2017-10-15,65
2017-10-22,64
2017-10-29,60
2017-11-05,56
2017-11-12,55
2017-11-19,54
2017-11-26,44
2017-12-03,47
2017-12-10,38
2017-12-17,42
2017-12-24,47
2017-12-31,50
2018-01-07,49
2018-01-14,60
2018-01-21,42
2018-01-28,66
2018-02-04,65
2018-02-11,27
2018-02-18,32
2018-02-25,28
2018-03-04,25
2018-03-11,27
2018-03-18,25
2018-03-25,30
2018-04-01,30
2018-04-08,32
2018-04-15,28
2018-04-22,34
2018-04-29,32
2018-05-06,33
2018-05-13,37
2018-05-20,33
2018-05-27,35
2018-06-03,37
2018-06-10,32
2018-06-17,27
2018-06-24,29
2018-07-01,30
2018-07-08,31
2018-07-15,40
2018-07-22,35
2018-07-29,35
2018-08-05,40
2018-08-12,42
2018-08-19,41
2018-08-26,39
2018-09-02,53
2018-09-09,58
2018-09-16,63
2018-09-23,65
2018-09-30,66
2018-10-07,47
2018-10-14,50
2018-10-21,52
2018-10-28,50
2018-11-04,48
