Category: All categories

Week,Cyclo-cross: (France)
2013-11-17,37
2013-11-24,32
2013-12-01,34
2013-12-08,28
2013-12-15,39
2013-12-22,46
2013-12-29,43
2014-01-05,48
2014-01-12,57
2014-01-19,28
2014-01-26,37
2014-02-02,66
2014-02-09,11
2014-02-16,8
2014-02-23,8
2014-03-02,6
2014-03-09,6
2014-03-16,7
2014-03-23,7
2014-03-30,6
2014-04-06,7
2014-04-13,7
2014-04-20,8
2014-04-27,10
2014-05-04,9
2014-05-11,7
2014-05-18,7
2014-05-25,8
2014-06-01,5
2014-06-08,8
2014-06-15,4
2014-06-22,9
2014-06-29,8
2014-07-06,10
2014-07-13,12
2014-07-20,9
2014-07-27,12
2014-08-03,10
2014-08-10,11
2014-08-17,14
2014-08-24,14
2014-08-31,14
2014-09-07,18
2014-09-14,20
2014-09-21,24
2014-09-28,27
2014-10-05,28
2014-10-12,36
2014-10-19,44
2014-10-26,40
2014-11-02,48
2014-11-09,60
2014-11-16,43
2014-11-23,41
2014-11-30,40
2014-12-07,41
2014-12-14,38
2014-12-21,44
2014-12-28,42
2015-01-04,40
2015-01-11,68
2015-01-18,34
2015-01-25,38
2015-02-01,62
2015-02-08,10
2015-02-15,9
2015-02-22,10
2015-03-01,12
2015-03-08,9
2015-03-15,10
2015-03-22,6
2015-03-29,7
2015-04-05,10
2015-04-12,10
2015-04-19,7
2015-04-26,9
2015-05-03,8
2015-05-10,10
2015-05-17,7
2015-05-24,12
2015-05-31,7
2015-06-07,9
2015-06-14,9
2015-06-21,10
2015-06-28,10
2015-07-05,12
2015-07-12,13
2015-07-19,12
2015-07-26,13
2015-08-02,13
2015-08-09,11
2015-08-16,18
2015-08-23,19
2015-08-30,20
2015-09-06,20
2015-09-13,27
2015-09-20,25
2015-09-27,30
2015-10-04,33
2015-10-11,39
2015-10-18,48
2015-10-25,49
2015-11-01,42
2015-11-08,56
2015-11-15,45
2015-11-22,48
2015-11-29,37
2015-12-06,40
2015-12-13,32
2015-12-20,50
2015-12-27,54
2016-01-03,49
2016-01-10,100
2016-01-17,47
2016-01-24,48
2016-01-31,88
2016-02-07,21
2016-02-14,12
2016-02-21,13
2016-02-28,9
2016-03-06,7
2016-03-13,8
2016-03-20,10
2016-03-27,8
2016-04-03,7
2016-04-10,10
2016-04-17,7
2016-04-24,8
2016-05-01,10
2016-05-08,11
2016-05-15,8
2016-05-22,11
2016-05-29,10
2016-06-05,9
2016-06-12,8
2016-06-19,9
2016-06-26,10
2016-07-03,8
2016-07-10,9
2016-07-17,13
2016-07-24,10
2016-07-31,13
2016-08-07,13
2016-08-14,18
2016-08-21,19
2016-08-28,13
2016-09-04,19
2016-09-11,23
2016-09-18,32
2016-09-25,33
2016-10-02,42
2016-10-09,51
2016-10-16,48
2016-10-23,65
2016-10-30,81
2016-11-06,56
2016-11-13,49
2016-11-20,52
2016-11-27,45
2016-12-04,43
2016-12-11,44
2016-12-18,38
2016-12-25,40
2017-01-01,43
2017-01-08,82
2017-01-15,32
2017-01-22,42
2017-01-29,51
2017-02-05,24
2017-02-12,10
2017-02-19,8
2017-02-26,10
2017-03-05,9
2017-03-12,9
2017-03-19,7
2017-03-26,10
2017-04-02,6
2017-04-09,8
2017-04-16,8
2017-04-23,7
2017-04-30,10
2017-05-07,9
2017-05-14,13
2017-05-21,7
2017-05-28,9
2017-06-04,11
2017-06-11,8
2017-06-18,6
2017-06-25,10
2017-07-02,9
2017-07-09,11
2017-07-16,11
2017-07-23,14
2017-07-30,12
2017-08-06,16
2017-08-13,14
2017-08-20,12
2017-08-27,16
2017-09-03,13
2017-09-10,19
2017-09-17,29
2017-09-24,31
2017-10-01,39
2017-10-08,43
2017-10-15,46
2017-10-22,53
2017-10-29,61
2017-11-05,60
2017-11-12,47
2017-11-19,57
2017-11-26,42
2017-12-03,48
2017-12-10,44
2017-12-17,43
2017-12-24,54
2017-12-31,37
2018-01-07,53
2018-01-14,89
2018-01-21,42
2018-01-28,50
2018-02-04,61
2018-02-11,11
2018-02-18,10
2018-02-25,9
2018-03-04,10
2018-03-11,9
2018-03-18,8
2018-03-25,7
2018-04-01,9
2018-04-08,6
2018-04-15,7
2018-04-22,8
2018-04-29,9
2018-05-06,9
2018-05-13,7
2018-05-20,11
2018-05-27,5
2018-06-03,9
2018-06-10,9
2018-06-17,8
2018-06-24,7
2018-07-01,5
2018-07-08,10
2018-07-15,8
2018-07-22,14
2018-07-29,11
2018-08-05,12
2018-08-12,16
2018-08-19,16
2018-08-26,16
2018-09-02,16
2018-09-09,16
2018-09-16,23
2018-09-23,32
2018-09-30,34
2018-10-07,38
2018-10-14,45
2018-10-21,47
2018-10-28,62
2018-11-04,54
