Category: All categories

Week,Cyclo-cross: (United States)
2013-11-17,77
2013-11-24,60
2013-12-01,63
2013-12-08,58
2013-12-15,50
2013-12-22,53
2013-12-29,50
2014-01-05,82
2014-01-12,75
2014-01-19,45
2014-01-26,54
2014-02-02,57
2014-02-09,30
2014-02-16,33
2014-02-23,29
2014-03-02,33
2014-03-09,33
2014-03-16,32
2014-03-23,34
2014-03-30,38
2014-04-06,39
2014-04-13,36
2014-04-20,38
2014-04-27,42
2014-05-04,42
2014-05-11,36
2014-05-18,46
2014-05-25,37
2014-06-01,44
2014-06-08,44
2014-06-15,46
2014-06-22,46
2014-06-29,40
2014-07-06,49
2014-07-13,54
2014-07-20,49
2014-07-27,58
2014-08-03,66
2014-08-10,73
2014-08-17,82
2014-08-24,75
2014-08-31,83
2014-09-07,85
2014-09-14,100
2014-09-21,98
2014-09-28,96
2014-10-05,83
2014-10-12,78
2014-10-19,73
2014-10-26,76
2014-11-02,74
2014-11-09,63
2014-11-16,62
2014-11-23,58
2014-11-30,50
2014-12-07,58
2014-12-14,41
2014-12-21,41
2014-12-28,44
2015-01-04,71
2015-01-11,93
2015-01-18,40
2015-01-25,39
2015-02-01,42
2015-02-08,31
2015-02-15,27
2015-02-22,27
2015-03-01,26
2015-03-08,33
2015-03-15,37
2015-03-22,34
2015-03-29,31
2015-04-05,35
2015-04-12,36
2015-04-19,42
2015-04-26,32
2015-05-03,37
2015-05-10,41
2015-05-17,38
2015-05-24,39
2015-05-31,39
2015-06-07,38
2015-06-14,38
2015-06-21,40
2015-06-28,38
2015-07-05,47
2015-07-12,50
2015-07-19,55
2015-07-26,55
2015-08-02,52
2015-08-09,67
2015-08-16,60
2015-08-23,61
2015-08-30,70
2015-09-06,76
2015-09-13,91
2015-09-20,80
2015-09-27,82
2015-10-04,75
2015-10-11,72
2015-10-18,66
2015-10-25,71
2015-11-01,63
2015-11-08,61
2015-11-15,59
2015-11-22,51
2015-11-29,39
2015-12-06,51
2015-12-13,38
2015-12-20,38
2015-12-27,44
2016-01-03,60
2016-01-10,58
2016-01-17,31
2016-01-24,41
2016-01-31,58
2016-02-07,27
2016-02-14,27
2016-02-21,25
2016-02-28,30
2016-03-06,34
2016-03-13,30
2016-03-20,31
2016-03-27,30
2016-04-03,32
2016-04-10,28
2016-04-17,36
2016-04-24,30
2016-05-01,28
2016-05-08,32
2016-05-15,29
2016-05-22,29
2016-05-29,29
2016-06-05,26
2016-06-12,34
2016-06-19,29
2016-06-26,31
2016-07-03,34
2016-07-10,35
2016-07-17,41
2016-07-24,35
2016-07-31,45
2016-08-07,47
2016-08-14,40
2016-08-21,55
2016-08-28,55
2016-09-04,68
2016-09-11,69
2016-09-18,69
2016-09-25,67
2016-10-02,61
2016-10-09,54
2016-10-16,49
2016-10-23,56
2016-10-30,51
2016-11-06,47
2016-11-13,51
2016-11-20,39
2016-11-27,37
2016-12-04,43
2016-12-11,33
2016-12-18,35
2016-12-25,30
2017-01-01,58
2017-01-08,61
2017-01-15,28
2017-01-22,37
2017-01-29,35
2017-02-05,26
2017-02-12,23
2017-02-19,25
2017-02-26,23
2017-03-05,23
2017-03-12,22
2017-03-19,24
2017-03-26,28
2017-04-02,29
2017-04-09,25
2017-04-16,25
2017-04-23,31
2017-04-30,26
2017-05-07,27
2017-05-14,24
2017-05-21,28
2017-05-28,25
2017-06-04,30
2017-06-11,29
2017-06-18,28
2017-06-25,31
2017-07-02,32
2017-07-09,33
2017-07-16,33
2017-07-23,39
2017-07-30,64
2017-08-06,46
2017-08-13,44
2017-08-20,42
2017-08-27,46
2017-09-03,54
2017-09-10,56
2017-09-17,68
2017-09-24,63
2017-10-01,55
2017-10-08,53
2017-10-15,56
2017-10-22,45
2017-10-29,47
2017-11-05,45
2017-11-12,44
2017-11-19,36
2017-11-26,37
2017-12-03,31
2017-12-10,27
2017-12-17,30
2017-12-24,30
2017-12-31,29
2018-01-07,42
2018-01-14,49
2018-01-21,25
2018-01-28,36
2018-02-04,41
2018-02-11,18
2018-02-18,19
2018-02-25,20
2018-03-04,23
2018-03-11,21
2018-03-18,19
2018-03-25,22
2018-04-01,21
2018-04-08,19
2018-04-15,21
2018-04-22,20
2018-04-29,24
2018-05-06,26
2018-05-13,24
2018-05-20,26
2018-05-27,27
2018-06-03,23
2018-06-10,24
2018-06-17,25
2018-06-24,23
2018-07-01,23
2018-07-08,26
2018-07-15,28
2018-07-22,29
2018-07-29,34
2018-08-05,29
2018-08-12,39
2018-08-19,35
2018-08-26,41
2018-09-02,42
2018-09-09,42
2018-09-16,43
2018-09-23,49
2018-09-30,45
2018-10-07,41
2018-10-14,41
2018-10-21,40
2018-10-28,39
2018-11-04,42
