Category: All categories

Week,Cyclo-cross: (Germany)
2013-11-17,73
2013-11-24,50
2013-12-01,41
2013-12-08,41
2013-12-15,66
2013-12-22,63
2013-12-29,70
2014-01-05,69
2014-01-12,57
2014-01-19,47
2014-01-26,65
2014-02-02,83
2014-02-09,50
2014-02-16,39
2014-02-23,51
2014-03-02,48
2014-03-09,50
2014-03-16,44
2014-03-23,43
2014-03-30,38
2014-04-06,60
2014-04-13,60
2014-04-20,46
2014-04-27,62
2014-05-04,43
2014-05-11,49
2014-05-18,60
2014-05-25,45
2014-06-01,54
2014-06-08,36
2014-06-15,54
2014-06-22,49
2014-06-29,71
2014-07-06,62
2014-07-13,61
2014-07-20,49
2014-07-27,54
2014-08-03,58
2014-08-10,68
2014-08-17,72
2014-08-24,63
2014-08-31,69
2014-09-07,69
2014-09-14,72
2014-09-21,68
2014-09-28,75
2014-10-05,84
2014-10-12,76
2014-10-19,82
2014-10-26,86
2014-11-02,82
2014-11-09,90
2014-11-16,58
2014-11-23,66
2014-11-30,57
2014-12-07,54
2014-12-14,58
2014-12-21,60
2014-12-28,59
2015-01-04,64
2015-01-11,63
2015-01-18,61
2015-01-25,48
2015-02-01,69
2015-02-08,45
2015-02-15,60
2015-02-22,55
2015-03-01,50
2015-03-08,48
2015-03-15,51
2015-03-22,46
2015-03-29,46
2015-04-05,54
2015-04-12,56
2015-04-19,61
2015-04-26,57
2015-05-03,58
2015-05-10,44
2015-05-17,54
2015-05-24,72
2015-05-31,63
2015-06-07,59
2015-06-14,57
2015-06-21,68
2015-06-28,61
2015-07-05,54
2015-07-12,73
2015-07-19,66
2015-07-26,73
2015-08-02,82
2015-08-09,68
2015-08-16,82
2015-08-23,75
2015-08-30,83
2015-09-06,74
2015-09-13,78
2015-09-20,69
2015-09-27,86
2015-10-04,74
2015-10-11,70
2015-10-18,76
2015-10-25,78
2015-11-01,71
2015-11-08,76
2015-11-15,73
2015-11-22,75
2015-11-29,62
2015-12-06,64
2015-12-13,59
2015-12-20,56
2015-12-27,81
2016-01-03,52
2016-01-10,62
2016-01-17,54
2016-01-24,72
2016-01-31,86
2016-02-07,55
2016-02-14,47
2016-02-21,67
2016-02-28,43
2016-03-06,56
2016-03-13,43
2016-03-20,50
2016-03-27,59
2016-04-03,60
2016-04-10,45
2016-04-17,62
2016-04-24,47
2016-05-01,54
2016-05-08,52
2016-05-15,53
2016-05-22,57
2016-05-29,59
2016-06-05,47
2016-06-12,52
2016-06-19,49
2016-06-26,40
2016-07-03,64
2016-07-10,67
2016-07-17,55
2016-07-24,67
2016-07-31,77
2016-08-07,79
2016-08-14,77
2016-08-21,70
2016-08-28,94
2016-09-04,73
2016-09-11,78
2016-09-18,89
2016-09-25,78
2016-10-02,82
2016-10-09,63
2016-10-16,77
2016-10-23,83
2016-10-30,95
2016-11-06,79
2016-11-13,73
2016-11-20,86
2016-11-27,80
2016-12-04,59
2016-12-11,49
2016-12-18,47
2016-12-25,83
2017-01-01,60
2017-01-08,72
2017-01-15,50
2017-01-22,57
2017-01-29,67
2017-02-05,53
2017-02-12,49
2017-02-19,55
2017-02-26,60
2017-03-05,57
2017-03-12,67
2017-03-19,70
2017-03-26,61
2017-04-02,70
2017-04-09,60
2017-04-16,60
2017-04-23,57
2017-04-30,49
2017-05-07,55
2017-05-14,55
2017-05-21,44
2017-05-28,70
2017-06-04,78
2017-06-11,74
2017-06-18,62
2017-06-25,65
2017-07-02,69
2017-07-09,77
2017-07-16,83
2017-07-23,67
2017-07-30,93
2017-08-06,82
2017-08-13,75
2017-08-20,79
2017-08-27,89
2017-09-03,83
2017-09-10,86
2017-09-17,75
2017-09-24,97
2017-10-01,91
2017-10-08,82
2017-10-15,84
2017-10-22,75
2017-10-29,80
2017-11-05,87
2017-11-12,81
2017-11-19,82
2017-11-26,56
2017-12-03,54
2017-12-10,49
2017-12-17,54
2017-12-24,67
2017-12-31,55
2018-01-07,69
2018-01-14,87
2018-01-21,46
2018-01-28,100
2018-02-04,86
2018-02-11,48
2018-02-18,40
2018-02-25,44
2018-03-04,48
2018-03-11,44
2018-03-18,45
2018-03-25,57
2018-04-01,57
2018-04-08,73
2018-04-15,60
2018-04-22,63
2018-04-29,55
2018-05-06,67
2018-05-13,62
2018-05-20,78
2018-05-27,66
2018-06-03,63
2018-06-10,49
2018-06-17,62
2018-06-24,61
2018-07-01,66
2018-07-08,65
2018-07-15,82
2018-07-22,73
2018-07-29,72
2018-08-05,83
2018-08-12,66
2018-08-19,65
2018-08-26,77
2018-09-02,70
2018-09-09,76
2018-09-16,71
2018-09-23,83
2018-09-30,78
2018-10-07,64
2018-10-14,76
2018-10-21,69
2018-10-28,77
2018-11-04,72
