Category: All categories

Week,Cyclo-cross: (Australia)
2013-11-17,34
2013-11-24,39
2013-12-01,21
2013-12-08,31
2013-12-15,19
2013-12-22,39
2013-12-29,38
2014-01-05,34
2014-01-12,48
2014-01-19,44
2014-01-26,38
2014-02-02,56
2014-02-09,33
2014-02-16,44
2014-02-23,41
2014-03-02,40
2014-03-09,42
2014-03-16,35
2014-03-23,30
2014-03-30,59
2014-04-06,49
2014-04-13,45
2014-04-20,24
2014-04-27,47
2014-05-04,39
2014-05-11,51
2014-05-18,46
2014-05-25,51
2014-06-01,34
2014-06-08,39
2014-06-15,54
2014-06-22,53
2014-06-29,40
2014-07-06,63
2014-07-13,44
2014-07-20,55
2014-07-27,65
2014-08-03,44
2014-08-10,44
2014-08-17,47
2014-08-24,31
2014-08-31,52
2014-09-07,28
2014-09-14,51
2014-09-21,54
2014-09-28,39
2014-10-05,36
2014-10-12,54
2014-10-19,33
2014-10-26,33
2014-11-02,42
2014-11-09,36
2014-11-16,39
2014-11-23,40
2014-11-30,41
2014-12-07,44
2014-12-14,24
2014-12-21,28
2014-12-28,56
2015-01-04,44
2015-01-11,31
2015-01-18,38
2015-01-25,63
2015-02-01,55
2015-02-08,46
2015-02-15,35
2015-02-22,36
2015-03-01,57
2015-03-08,54
2015-03-15,31
2015-03-22,38
2015-03-29,36
2015-04-05,35
2015-04-12,43
2015-04-19,49
2015-04-26,33
2015-05-03,34
2015-05-10,20
2015-05-17,63
2015-05-24,52
2015-05-31,49
2015-06-07,36
2015-06-14,39
2015-06-21,45
2015-06-28,45
2015-07-05,58
2015-07-12,41
2015-07-19,37
2015-07-26,35
2015-08-02,37
2015-08-09,60
2015-08-16,43
2015-08-23,45
2015-08-30,45
2015-09-06,35
2015-09-13,54
2015-09-20,40
2015-09-27,30
2015-10-04,24
2015-10-11,47
2015-10-18,29
2015-10-25,27
2015-11-01,50
2015-11-08,68
2015-11-15,28
2015-11-22,45
2015-11-29,28
2015-12-06,27
2015-12-13,35
2015-12-20,40
2015-12-27,39
2016-01-03,52
2016-01-10,40
2016-01-17,45
2016-01-24,59
2016-01-31,100
2016-02-07,39
2016-02-14,46
2016-02-21,41
2016-02-28,34
2016-03-06,42
2016-03-13,45
2016-03-20,27
2016-03-27,38
2016-04-03,31
2016-04-10,44
2016-04-17,52
2016-04-24,33
2016-05-01,44
2016-05-08,53
2016-05-15,47
2016-05-22,37
2016-05-29,39
2016-06-05,46
2016-06-12,46
2016-06-19,31
2016-06-26,44
2016-07-03,66
2016-07-10,37
2016-07-17,48
2016-07-24,58
2016-07-31,36
2016-08-07,33
2016-08-14,41
2016-08-21,38
2016-08-28,37
2016-09-04,34
2016-09-11,47
2016-09-18,40
2016-09-25,20
2016-10-02,27
2016-10-09,33
2016-10-16,35
2016-10-23,39
2016-10-30,32
2016-11-06,52
2016-11-13,35
2016-11-20,27
2016-11-27,35
2016-12-04,46
2016-12-11,42
2016-12-18,38
2016-12-25,49
2017-01-01,30
2017-01-08,42
2017-01-15,26
2017-01-22,49
2017-01-29,68
2017-02-05,45
2017-02-12,40
2017-02-19,34
2017-02-26,32
2017-03-05,28
2017-03-12,42
2017-03-19,32
2017-03-26,45
2017-04-02,32
2017-04-09,35
2017-04-16,38
2017-04-23,65
2017-04-30,45
2017-05-07,48
2017-05-14,56
2017-05-21,32
2017-05-28,22
2017-06-04,40
2017-06-11,43
2017-06-18,38
2017-06-25,26
2017-07-02,37
2017-07-09,35
2017-07-16,30
2017-07-23,26
2017-07-30,48
2017-08-06,43
2017-08-13,31
2017-08-20,28
2017-08-27,34
2017-09-03,37
2017-09-10,33
2017-09-17,31
2017-09-24,29
2017-10-01,24
2017-10-08,38
2017-10-15,32
2017-10-22,28
2017-10-29,35
2017-11-05,32
2017-11-12,36
2017-11-19,35
2017-11-26,44
2017-12-03,19
2017-12-10,24
2017-12-17,20
2017-12-24,31
2017-12-31,36
2018-01-07,32
2018-01-14,30
2018-01-21,41
2018-01-28,44
2018-02-04,41
2018-02-11,42
2018-02-18,28
2018-02-25,28
2018-03-04,31
2018-03-11,25
2018-03-18,22
2018-03-25,28
2018-04-01,42
2018-04-08,39
2018-04-15,33
2018-04-22,31
2018-04-29,25
2018-05-06,34
2018-05-13,31
2018-05-20,37
2018-05-27,32
2018-06-03,35
2018-06-10,24
2018-06-17,28
2018-06-24,29
2018-07-01,34
2018-07-08,26
2018-07-15,32
2018-07-22,33
2018-07-29,44
2018-08-05,29
2018-08-12,31
2018-08-19,35
2018-08-26,31
2018-09-02,30
2018-09-09,29
2018-09-16,25
2018-09-23,30
2018-09-30,25
2018-10-07,14
2018-10-14,28
2018-10-21,27
2018-10-28,18
2018-11-04,31
