Category: All categories

Week,Cyclo-cross: (Spain)
2013-11-17,53
2013-11-24,43
2013-12-01,68
2013-12-08,60
2013-12-15,40
2013-12-22,53
2013-12-29,52
2014-01-05,53
2014-01-12,54
2014-01-19,34
2014-01-26,34
2014-02-02,48
2014-02-09,27
2014-02-16,15
2014-02-23,21
2014-03-02,15
2014-03-09,12
2014-03-16,15
2014-03-23,12
2014-03-30,14
2014-04-06,17
2014-04-13,15
2014-04-20,17
2014-04-27,18
2014-05-04,9
2014-05-11,9
2014-05-18,19
2014-05-25,11
2014-06-01,15
2014-06-08,19
2014-06-15,7
2014-06-22,18
2014-06-29,12
2014-07-06,23
2014-07-13,31
2014-07-20,13
2014-07-27,21
2014-08-03,25
2014-08-10,17
2014-08-17,28
2014-08-24,26
2014-08-31,23
2014-09-07,28
2014-09-14,22
2014-09-21,42
2014-09-28,45
2014-10-05,44
2014-10-12,57
2014-10-19,63
2014-10-26,57
2014-11-02,55
2014-11-09,56
2014-11-16,43
2014-11-23,65
2014-11-30,46
2014-12-07,62
2014-12-14,48
2014-12-21,49
2014-12-28,55
2015-01-04,79
2015-01-11,100
2015-01-18,30
2015-01-25,43
2015-02-01,50
2015-02-08,21
2015-02-15,30
2015-02-22,18
2015-03-01,16
2015-03-08,15
2015-03-15,28
2015-03-22,21
2015-03-29,26
2015-04-05,16
2015-04-12,29
2015-04-19,14
2015-04-26,10
2015-05-03,13
2015-05-10,18
2015-05-17,17
2015-05-24,14
2015-05-31,23
2015-06-07,18
2015-06-14,22
2015-06-21,23
2015-06-28,28
2015-07-05,17
2015-07-12,24
2015-07-19,32
2015-07-26,24
2015-08-02,32
2015-08-09,36
2015-08-16,22
2015-08-23,31
2015-08-30,41
2015-09-06,26
2015-09-13,38
2015-09-20,39
2015-09-27,39
2015-10-04,40
2015-10-11,71
2015-10-18,73
2015-10-25,77
2015-11-01,58
2015-11-08,56
2015-11-15,58
2015-11-22,71
2015-11-29,63
2015-12-06,89
2015-12-13,58
2015-12-20,54
2015-12-27,56
2016-01-03,91
2016-01-10,70
2016-01-17,42
2016-01-24,52
2016-01-31,75
2016-02-07,32
2016-02-14,18
2016-02-21,17
2016-02-28,21
2016-03-06,21
2016-03-13,25
2016-03-20,17
2016-03-27,14
2016-04-03,16
2016-04-10,19
2016-04-17,18
2016-04-24,28
2016-05-01,19
2016-05-08,21
2016-05-15,10
2016-05-22,20
2016-05-29,23
2016-06-05,25
2016-06-12,23
2016-06-19,16
2016-06-26,16
2016-07-03,19
2016-07-10,22
2016-07-17,19
2016-07-24,15
2016-07-31,27
2016-08-07,23
2016-08-14,15
2016-08-21,23
2016-08-28,33
2016-09-04,26
2016-09-11,32
2016-09-18,34
2016-09-25,47
2016-10-02,54
2016-10-09,84
2016-10-16,72
2016-10-23,66
2016-10-30,81
2016-11-06,70
2016-11-13,79
2016-11-20,65
2016-11-27,69
2016-12-04,90
2016-12-11,58
2016-12-18,56
2016-12-25,66
2017-01-01,60
2017-01-08,57
2017-01-15,45
2017-01-22,37
2017-01-29,55
2017-02-05,26
2017-02-12,23
2017-02-19,26
2017-02-26,14
2017-03-05,13
2017-03-12,20
2017-03-19,14
2017-03-26,18
2017-04-02,16
2017-04-09,25
2017-04-16,25
2017-04-23,25
2017-04-30,17
2017-05-07,17
2017-05-14,16
2017-05-21,17
2017-05-28,10
2017-06-04,11
2017-06-11,16
2017-06-18,15
2017-06-25,12
2017-07-02,20
2017-07-09,20
2017-07-16,26
2017-07-23,28
2017-07-30,39
2017-08-06,28
2017-08-13,30
2017-08-20,34
2017-08-27,25
2017-09-03,32
2017-09-10,42
2017-09-17,47
2017-09-24,44
2017-10-01,44
2017-10-08,56
2017-10-15,58
2017-10-22,57
2017-10-29,75
2017-11-05,83
2017-11-12,57
2017-11-19,59
2017-11-26,50
2017-12-03,80
2017-12-10,72
2017-12-17,44
2017-12-24,60
2017-12-31,65
2018-01-07,62
2018-01-14,98
2018-01-21,28
2018-01-28,52
2018-02-04,78
2018-02-11,27
2018-02-18,21
2018-02-25,14
2018-03-04,16
2018-03-11,17
2018-03-18,20
2018-03-25,14
2018-04-01,16
2018-04-08,16
2018-04-15,19
2018-04-22,19
2018-04-29,20
2018-05-06,17
2018-05-13,15
2018-05-20,15
2018-05-27,19
2018-06-03,16
2018-06-10,15
2018-06-17,14
2018-06-24,19
2018-07-01,23
2018-07-08,20
2018-07-15,16
2018-07-22,21
2018-07-29,18
2018-08-05,27
2018-08-12,25
2018-08-19,18
2018-08-26,29
2018-09-02,19
2018-09-09,30
2018-09-16,27
2018-09-23,34
2018-09-30,42
2018-10-07,51
2018-10-14,59
2018-10-21,67
2018-10-28,69
2018-11-04,47
