Category: All categories

Week,Cyclo-cross: (Italy)
2013-11-17,42
2013-11-24,42
2013-12-01,38
2013-12-08,40
2013-12-15,33
2013-12-22,63
2013-12-29,48
2014-01-05,62
2014-01-12,53
2014-01-19,24
2014-01-26,37
2014-02-02,40
2014-02-09,15
2014-02-16,13
2014-02-23,15
2014-03-02,10
2014-03-09,12
2014-03-16,13
2014-03-23,11
2014-03-30,9
2014-04-06,7
2014-04-13,16
2014-04-20,15
2014-04-27,10
2014-05-04,18
2014-05-11,12
2014-05-18,9
2014-05-25,14
2014-06-01,9
2014-06-08,11
2014-06-15,9
2014-06-22,12
2014-06-29,17
2014-07-06,18
2014-07-13,18
2014-07-20,17
2014-07-27,16
2014-08-03,14
2014-08-10,9
2014-08-17,20
2014-08-24,25
2014-08-31,26
2014-09-07,20
2014-09-14,22
2014-09-21,32
2014-09-28,39
2014-10-05,40
2014-10-12,40
2014-10-19,52
2014-10-26,55
2014-11-02,44
2014-11-09,50
2014-11-16,34
2014-11-23,56
2014-11-30,44
2014-12-07,58
2014-12-14,40
2014-12-21,47
2014-12-28,42
2015-01-04,53
2015-01-11,66
2015-01-18,33
2015-01-25,38
2015-02-01,40
2015-02-08,18
2015-02-15,12
2015-02-22,13
2015-03-01,16
2015-03-08,17
2015-03-15,11
2015-03-22,8
2015-03-29,11
2015-04-05,13
2015-04-12,16
2015-04-19,7
2015-04-26,7
2015-05-03,16
2015-05-10,14
2015-05-17,17
2015-05-24,8
2015-05-31,19
2015-06-07,11
2015-06-14,13
2015-06-21,12
2015-06-28,12
2015-07-05,14
2015-07-12,8
2015-07-19,15
2015-07-26,17
2015-08-02,18
2015-08-09,14
2015-08-16,20
2015-08-23,21
2015-08-30,23
2015-09-06,24
2015-09-13,23
2015-09-20,28
2015-09-27,32
2015-10-04,40
2015-10-11,43
2015-10-18,54
2015-10-25,50
2015-11-01,51
2015-11-08,53
2015-11-15,48
2015-11-22,50
2015-11-29,45
2015-12-06,48
2015-12-13,50
2015-12-20,55
2015-12-27,43
2016-01-03,66
2016-01-10,53
2016-01-17,38
2016-01-24,48
2016-01-31,81
2016-02-07,15
2016-02-14,14
2016-02-21,12
2016-02-28,16
2016-03-06,12
2016-03-13,19
2016-03-20,14
2016-03-27,13
2016-04-03,13
2016-04-10,10
2016-04-17,12
2016-04-24,13
2016-05-01,15
2016-05-08,10
2016-05-15,7
2016-05-22,8
2016-05-29,17
2016-06-05,18
2016-06-12,17
2016-06-19,16
2016-06-26,13
2016-07-03,14
2016-07-10,10
2016-07-17,12
2016-07-24,10
2016-07-31,18
2016-08-07,17
2016-08-14,32
2016-08-21,36
2016-08-28,28
2016-09-04,24
2016-09-11,26
2016-09-18,27
2016-09-25,35
2016-10-02,47
2016-10-09,43
2016-10-16,48
2016-10-23,66
2016-10-30,73
2016-11-06,53
2016-11-13,45
2016-11-20,50
2016-11-27,46
2016-12-04,48
2016-12-11,41
2016-12-18,44
2016-12-25,56
2017-01-01,64
2017-01-08,100
2017-01-15,66
2017-01-22,69
2017-01-29,89
2017-02-05,27
2017-02-12,14
2017-02-19,18
2017-02-26,12
2017-03-05,16
2017-03-12,16
2017-03-19,11
2017-03-26,15
2017-04-02,17
2017-04-09,14
2017-04-16,22
2017-04-23,14
2017-04-30,8
2017-05-07,10
2017-05-14,17
2017-05-21,21
2017-05-28,13
2017-06-04,15
2017-06-11,12
2017-06-18,18
2017-06-25,14
2017-07-02,14
2017-07-09,17
2017-07-16,15
2017-07-23,14
2017-07-30,19
2017-08-06,20
2017-08-13,14
2017-08-20,19
2017-08-27,26
2017-09-03,27
2017-09-10,39
2017-09-17,46
2017-09-24,39
2017-10-01,44
2017-10-08,48
2017-10-15,53
2017-10-22,48
2017-10-29,68
2017-11-05,61
2017-11-12,45
2017-11-19,54
2017-11-26,50
2017-12-03,77
2017-12-10,53
2017-12-17,66
2017-12-24,64
2017-12-31,77
2018-01-07,59
2018-01-14,45
2018-01-21,29
2018-01-28,51
2018-02-04,78
2018-02-11,20
2018-02-18,15
2018-02-25,18
2018-03-04,16
2018-03-11,15
2018-03-18,11
2018-03-25,15
2018-04-01,15
2018-04-08,18
2018-04-15,10
2018-04-22,9
2018-04-29,16
2018-05-06,11
2018-05-13,11
2018-05-20,14
2018-05-27,15
2018-06-03,13
2018-06-10,14
2018-06-17,16
2018-06-24,12
2018-07-01,11
2018-07-08,19
2018-07-15,10
2018-07-22,15
2018-07-29,12
2018-08-05,16
2018-08-12,21
2018-08-19,17
2018-08-26,23
2018-09-02,20
2018-09-09,29
2018-09-16,26
2018-09-23,36
2018-09-30,36
2018-10-07,53
2018-10-14,44
2018-10-21,50
2018-10-28,74
2018-11-04,60
