Category: All categories

Week,Cyclo-cross: (Worldwide)
2013-11-17,61
2013-11-24,53
2013-12-01,50
2013-12-08,49
2013-12-15,55
2013-12-22,75
2013-12-29,67
2014-01-05,73
2014-01-12,77
2014-01-19,51
2014-01-26,67
2014-02-02,83
2014-02-09,40
2014-02-16,35
2014-02-23,31
2014-03-02,24
2014-03-09,25
2014-03-16,24
2014-03-23,26
2014-03-30,26
2014-04-06,29
2014-04-13,28
2014-04-20,26
2014-04-27,27
2014-05-04,27
2014-05-11,26
2014-05-18,28
2014-05-25,26
2014-06-01,27
2014-06-08,26
2014-06-15,26
2014-06-22,27
2014-06-29,26
2014-07-06,32
2014-07-13,33
2014-07-20,32
2014-07-27,36
2014-08-03,37
2014-08-10,39
2014-08-17,39
2014-08-24,42
2014-08-31,43
2014-09-07,48
2014-09-14,52
2014-09-21,61
2014-09-28,58
2014-10-05,61
2014-10-12,63
2014-10-19,61
2014-10-26,60
2014-11-02,61
2014-11-09,63
2014-11-16,60
2014-11-23,60
2014-11-30,50
2014-12-07,49
2014-12-14,51
2014-12-21,60
2014-12-28,69
2015-01-04,68
2015-01-11,91
2015-01-18,49
2015-01-25,63
2015-02-01,69
2015-02-08,41
2015-02-15,31
2015-02-22,31
2015-03-01,22
2015-03-08,27
2015-03-15,26
2015-03-22,25
2015-03-29,24
2015-04-05,27
2015-04-12,28
2015-04-19,27
2015-04-26,27
2015-05-03,25
2015-05-10,25
2015-05-17,25
2015-05-24,27
2015-05-31,27
2015-06-07,27
2015-06-14,27
2015-06-21,27
2015-06-28,26
2015-07-05,29
2015-07-12,30
2015-07-19,33
2015-07-26,33
2015-08-02,35
2015-08-09,39
2015-08-16,37
2015-08-23,41
2015-08-30,46
2015-09-06,45
2015-09-13,57
2015-09-20,57
2015-09-27,60
2015-10-04,57
2015-10-11,61
2015-10-18,65
2015-10-25,64
2015-11-01,63
2015-11-08,58
2015-11-15,53
2015-11-22,56
2015-11-29,51
2015-12-06,51
2015-12-13,53
2015-12-20,64
2015-12-27,78
2016-01-03,64
2016-01-10,86
2016-01-17,50
2016-01-24,71
2016-01-31,100
2016-02-07,39
2016-02-14,35
2016-02-21,37
2016-02-28,22
2016-03-06,24
2016-03-13,25
2016-03-20,24
2016-03-27,25
2016-04-03,24
2016-04-10,26
2016-04-17,25
2016-04-24,24
2016-05-01,25
2016-05-08,25
2016-05-15,23
2016-05-22,24
2016-05-29,26
2016-06-05,24
2016-06-12,24
2016-06-19,24
2016-06-26,24
2016-07-03,25
2016-07-10,25
2016-07-17,29
2016-07-24,27
2016-07-31,30
2016-08-07,33
2016-08-14,34
2016-08-21,35
2016-08-28,36
2016-09-04,42
2016-09-11,47
2016-09-18,52
2016-09-25,51
2016-10-02,52
2016-10-09,54
2016-10-16,56
2016-10-23,63
2016-10-30,63
2016-11-06,55
2016-11-13,54
2016-11-20,52
2016-11-27,48
2016-12-04,49
2016-12-11,42
2016-12-18,51
2016-12-25,58
2017-01-01,68
2017-01-08,81
2017-01-15,53
2017-01-22,68
2017-01-29,74
2017-02-05,46
2017-02-12,34
2017-02-19,37
2017-02-26,23
2017-03-05,22
2017-03-12,22
2017-03-19,21
2017-03-26,23
2017-04-02,24
2017-04-09,26
2017-04-16,23
2017-04-23,24
2017-04-30,23
2017-05-07,23
2017-05-14,23
2017-05-21,22
2017-05-28,24
2017-06-04,23
2017-06-11,23
2017-06-18,24
2017-06-25,23
2017-07-02,25
2017-07-09,27
2017-07-16,27
2017-07-23,28
2017-07-30,36
2017-08-06,32
2017-08-13,31
2017-08-20,32
2017-08-27,38
2017-09-03,39
2017-09-10,47
2017-09-17,53
2017-09-24,55
2017-10-01,56
2017-10-08,55
2017-10-15,60
2017-10-22,59
2017-10-29,60
2017-11-05,63
2017-11-12,55
2017-11-19,57
2017-11-26,49
2017-12-03,49
2017-12-10,44
2017-12-17,46
2017-12-24,69
2017-12-31,55
2018-01-07,64
2018-01-14,85
2018-01-21,51
2018-01-28,80
2018-02-04,87
2018-02-11,32
2018-02-18,28
2018-02-25,22
2018-03-04,20
2018-03-11,17
2018-03-18,18
2018-03-25,19
2018-04-01,20
2018-04-08,21
2018-04-15,21
2018-04-22,22
2018-04-29,19
2018-05-06,22
2018-05-13,21
2018-05-20,23
2018-05-27,23
2018-06-03,22
2018-06-10,21
2018-06-17,20
2018-06-24,20
2018-07-01,21
2018-07-08,23
2018-07-15,23
2018-07-22,25
2018-07-29,25
2018-08-05,25
2018-08-12,28
2018-08-19,28
2018-08-26,31
2018-09-02,31
2018-09-09,33
2018-09-16,40
2018-09-23,48
2018-09-30,45
2018-10-07,44
2018-10-14,54
2018-10-21,54
2018-10-28,59
2018-11-04,59
